source,id,portuguese,current_pos,current_gender,best_guess,reason
src/data/fragments/modules-01-03.json,az-0009,masculino,,,m,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0010,feminino,,,m,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0011,solteiro(a),,,m,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0012,casado(a),,,m,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0013,divorciado(a),,,m,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0014,viúvo(a),,,m,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0022,motorista,,,f,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0023,professor(a),,,m,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0024,médico(a),,,m,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0025,um,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0026,dois,,,plural?,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0027,três,,,plural?,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0028,quatro,,,m,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0029,cinco,,,m,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0030,seis,,,plural?,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0031,sete,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0032,oito,,,m,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0033,nove,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0034,dez,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0035,vinte,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0036,trinta,,,f,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0037,quarenta,,,f,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0038,cinquenta,,,f,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0039,cem,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0040,mil,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0041,segunda-feira,,,f,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0042,terça-feira,,,f,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0043,quarta-feira,,,f,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0044,quinta-feira,,,f,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0045,sexta-feira,,,f,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0046,sábado,,,m,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0047,domingo,,,m,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0048,janeiro,,,m,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0049,fevereiro,,,m,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0050,março,,,m,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0051,abril,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0052,maio,,,m,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0053,junho,,,m,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0054,julho,,,m,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0055,agosto,,,m,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0056,setembro,,,m,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0057,outubro,,,m,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0058,novembro,,,m,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0059,dezembro,,,m,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0062,filho(a),,,m,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0067,olá,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0068,bom dia,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0069,boa tarde,,,f,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0070,boa noite,,,f,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0071,tudo bem?,,,m,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0072,como está?,,,m,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0073,até logo,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0074,até amanhã,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0075,adeus,,,plural?,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0076,muito prazer,,,m,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0084,aluga-se,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0086,ser,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0087,estar,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0088,ter,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0089,morar,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0090,trabalhar,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0091,quem,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0092,qual,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0093,onde,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0094,como,,,m,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0095,que,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0096,quantos,,,plural?,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0097,apanhar o metro,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0098,almoçar,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0099,acordar,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0100,tomar o pequeno-almoço,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0101,ir para o trabalho,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0102,voltar para casa,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0106,que horas são?,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0107,meio-dia,,,f,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0120,levantar-se,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0121,lavar os dentes,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0122,tomar um duche,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0125,precisar,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0126,usar,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0127,abrir,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0128,ir,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0129,sair,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0130,há,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0132,sempre,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0133,nunca,,,f,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0134,ir às compras,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0135,transferir dinheiro,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0166,pedir,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0167,querer,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0168,poder,,,,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0169,caro,,,m,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0170,barato,,,m,no confident noun-gender rule matched
src/data/fragments/modules-01-03.json,az-0171,saudável,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0172,ouvir música,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0173,passear,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0174,ler,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0175,ver televisão,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0176,conversar,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0177,ir ao ginásio,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0178,ir ao cinema,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0179,ir a um bar,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0180,ir à praia,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0181,viajar,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0193,fresco(a),,,m,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0194,frio(a),,,m,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0196,ir dar uma volta,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0198,dizer,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0199,amanhã,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0200,depois de amanhã,,,plural?,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0201,na próxima semana,,,f,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0202,daqui a uma semana,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0205,costumar,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0206,andar de bicicleta,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0207,divertir-se,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0208,comigo,,,m,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0209,contigo,,,m,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0210,consigo,,,m,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0219,oculista,,,f,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0220,Proibido fumar,,,m,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0221,Fechado para férias,,,m,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0223,à esquerda,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0224,à direita,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0225,seguir em frente,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0226,atravessar,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0227,passar,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0228,subir,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0229,descer,,,,no confident noun-gender rule matched
