scenario,section,order,speaker,pt,en,zh_hant,zh_hans,example_pt,example_zh_hant,example_zh_hans
Veterinário,vocabulario,1,,o veterinário,veterinarian,獸醫,兽医,O veterinário é simpático.,獸醫人很好。,兽医人很好。
Veterinário,vocabulario,2,,a clínica veterinária,veterinary clinic,獸醫診所,兽医诊所,A clínica abre às nove.,診所九點開門。,诊所九点开门。
Veterinário,vocabulario,3,,o animal de estimação,pet,寵物,宠物,Tens animais de estimação?,你有養寵物嗎？,你有养宠物吗？
Veterinário,vocabulario,4,,o cão,dog,狗,狗,O meu cão chama-se Rex.,我的狗叫Rex。,我的狗叫Rex。
Veterinário,vocabulario,5,,o gato,cat,貓,猫,O gato dorme muito.,貓睡很多。,猫睡很多。
Veterinário,vocabulario,6,,a vacina,vaccine,疫苗,疫苗,A vacina está em dia.,疫苗都是最新的。,疫苗都是最新的。
Veterinário,vocabulario,7,,vacinar,to vaccinate,打疫苗,打疫苗,Vamos vacinar o cão.,我們去幫狗打疫苗。,我们去帮狗打疫苗。
Veterinário,vocabulario,8,,a desparasitação,deworming,驅蟲,驱虫,Fiz a desparasitação em casa.,我在家幫牠驅蟲了。,我在家帮它驱虫了。
Veterinário,vocabulario,9,,o microchip,microchip,晶片,芯片,O gato já tem microchip.,貓已經植入晶片了。,猫已经植入芯片了。
Veterinário,vocabulario,10,,o registo,registration,登記,登记,O registo é obrigatório.,登記是強制的。,登记是强制的。
Veterinário,vocabulario,11,,a consulta,appointment,看診,看诊,Marquei consulta para hoje.,我約了今天看診。,我约了今天看诊。
Veterinário,vocabulario,12,,a urgência,emergency,急診,急诊,Fomos à urgência ontem.,我們昨天去了急診。,我们昨天去了急诊。
Veterinário,vocabulario,13,,a ração,pet food,飼料,饲料,Comprei ração nova.,我買了新的飼料。,我买了新的饲料。
Veterinário,vocabulario,14,,a trela,leash,牽繩,牵绳,Usa sempre a trela.,要一直用牽繩。,要一直用牵绳。
Veterinário,vocabulario,15,,o açaime,muzzle,嘴套,嘴套,O açaime é obrigatório?,一定要戴嘴套嗎？,一定要戴嘴套吗？
Veterinário,vocabulario,16,,a coleira,collar,項圈,项圈,A coleira é vermelha.,項圈是紅色的。,项圈是红色的。
Veterinário,vocabulario,17,,a transportadora,pet carrier,寵物提籠,宠物提笼,O gato odeia a transportadora.,貓討厭提籠。,猫讨厌提笼。
Veterinário,vocabulario,18,,a esterilização,spaying / neutering,絕育,绝育,A esterilização é amanhã.,明天做絕育手術。,明天做绝育手术。
Veterinário,vocabulario,19,,vomitar,to vomit,嘔吐,呕吐,Ele vomitou de manhã.,牠早上吐了。,它早上吐了。
Veterinário,vocabulario,20,,a diarreia,diarrhea,腹瀉,腹泻,O cão tem diarreia.,狗拉肚子了。,狗拉肚子了。
Veterinário,vocabulario,21,,a ferida,wound,傷口,伤口,A ferida está a sarar.,傷口在癒合。,伤口在愈合。
Veterinário,vocabulario,22,,a pata,paw,爪子,爪子,Ele magoou a pata.,牠的腳受傷了。,它的脚受伤了。
Veterinário,vocabulario,23,,o pelo,fur,毛,毛,O pelo cai muito.,牠掉很多毛。,它掉很多毛。
Veterinário,vocabulario,24,,a pulga,flea,跳蚤,跳蚤,Acho que tem pulgas.,我覺得牠有跳蚤。,我觉得它有跳蚤。
Veterinário,vocabulario,25,,a carraça,tick,蜱蟲,蜱虫,Encontrei uma carraça nele.,我在牠身上找到一隻蜱蟲。,我在它身上找到一只蜱虫。
Veterinário,vocabulario,26,,o comprimido,pill,藥片,药片,Dá-lhe meio comprimido.,給牠半顆藥片。,给它半颗药片。
Veterinário,vocabulario,27,,a pomada,ointment,藥膏,药膏,Põe pomada na ferida.,在傷口塗藥膏。,在伤口涂药膏。
Veterinário,vocabulario,28,,morder,to bite,咬,咬,O cão não morde.,這隻狗不咬人。,这只狗不咬人。
Veterinário,vocabulario,29,,arranhar,to scratch (something),抓,抓,O gato arranhou o sofá.,貓抓壞了沙發。,猫抓坏了沙发。
Veterinário,vocabulario,30,,ladrar,to bark,吠叫,吠叫,Ele ladra à noite.,牠晚上會吠。,它晚上会吠。
Veterinário,vocabulario,31,,miar,to meow,喵喵叫,喵喵叫,A gata mia muito.,母貓很愛叫。,母猫很爱叫。
Veterinário,vocabulario,32,,pesar,to weigh,稱重,称重,Vamos pesar o gato.,我們來幫貓量體重。,我们来帮猫量体重。
Veterinário,vocabulario,33,,o passaporte de animal,pet passport,寵物護照,宠物护照,Ele já tem passaporte.,牠已經有寵物護照了。,它已经有宠物护照了。
Veterinário,vocabulario,34,,coçar-se,to scratch oneself,抓癢,抓痒,Ele coça-se muito.,牠一直抓癢。,它一直抓痒。
Veterinário,dialogo,1,A,"Bom dia, queria marcar uma consulta.","Good morning, I'd like to book an appointment.",早安，我想預約看診。,早上好，我想预约看诊。,,,
Veterinário,dialogo,2,B,Claro. É para que animal?,Of course. For which animal?,好的。是哪隻動物？,好的。是哪只动物？,,,
Veterinário,dialogo,3,A,Para o meu gato. Não come há dois dias.,For my cat. He hasn't eaten for two days.,我的貓。牠兩天沒吃了。,我的猫。它两天没吃了。,,,
Veterinário,dialogo,4,B,Está a vomitar ou tem diarreia?,"Is he vomiting, or does he have diarrhea?",有嘔吐或腹瀉嗎？,有呕吐或腹泻吗？,,,
Veterinário,dialogo,5,A,Vomitou ontem duas vezes.,He vomited twice yesterday.,昨天吐了兩次。,昨天吐了两次。,,,
Veterinário,dialogo,6,B,Pode vir hoje às quatro?,Can you come today at four?,今天四點能來嗎？,今天四点能来吗？,,,
Veterinário,dialogo,7,A,"Sim, pode ser. Obrigado.","Yes, that works. Thank you.",可以，謝謝。,可以，谢谢。,,,
Veterinário,dialogo,8,B,O gato tem microchip e vacinas em dia?,Does the cat have a microchip and up-to-date vaccines?,貓有晶片嗎？疫苗打了嗎？,猫有芯片吗？疫苗打了吗？,,,
Veterinário,dialogo,9,A,"Tem chip, mas a vacina está atrasada.","He has a chip, but the vaccine is overdue.",有晶片，但疫苗過期了。,有芯片，但疫苗过期了。,,,
Veterinário,dialogo,10,B,Então aproveitamos e vacinamos.,Then we'll take the chance to vaccinate him.,那就順便打疫苗。,那就顺便打疫苗。,,,
Veterinário,dialogo,11,A,Quanto custa a consulta?,How much is the appointment?,看診多少錢？,看诊多少钱？,,,
Veterinário,dialogo,12,B,"São trinta euros, sem os medicamentos.","It's thirty euros, not counting medication.",三十歐元，不含藥。,三十欧元，不含药。,,,
Veterinário,dialogo,13,A,Ele precisa de ficar internado?,Does he need to stay overnight?,牠需要住院嗎？,它需要住院吗？,,,
Veterinário,dialogo,14,B,Primeiro fazemos análises.,First we'll run some tests.,先做檢查。,先做检查。,,,
Veterinário,dialogo,15,A,Ele tem medo. Posso ficar ao lado?,He's scared. Can I stay by his side?,牠會怕，我能陪著嗎？,它会怕，我能陪着吗？,,,
Veterinário,dialogo,16,B,Claro que pode.,Of course you can.,當然可以。,当然可以。,,,
Veterinário,cartao,1,,O meu cão não come.,My dog isn't eating.,我的狗不吃東西。,我的狗不吃东西。,,,
Veterinário,cartao,2,,O meu gato está a vomitar.,My cat is vomiting.,我的貓在嘔吐。,我的猫在呕吐。,,,
Veterinário,cartao,3,,Preciso de uma consulta urgente.,I need an urgent appointment.,我需要緊急看診。,我需要紧急看诊。,,,
Veterinário,cartao,4,,É grave?,Is it serious?,嚴重嗎？,严重吗？,,,
Veterinário,cartao,5,,A vacina está em dia?,Are the vaccines up to date?,疫苗都打了嗎？,疫苗都打了吗？,,,
Veterinário,cartao,6,,Quanto custa a vacina?,How much is the vaccine?,疫苗多少錢？,疫苗多少钱？,,,
Veterinário,cartao,7,,Ele tem microchip.,He has a microchip.,牠有晶片。,它有芯片。,,,
Veterinário,cartao,8,,Queria desparasitar o meu gato.,I'd like to deworm my cat.,我想幫貓驅蟲。,我想帮猫驱虫。,,,
Veterinário,cartao,9,,Ele coça-se muito.,He scratches himself a lot.,牠一直抓癢。,它一直抓痒。,,,
Veterinário,cartao,10,,Acho que tem pulgas.,I think he has fleas.,我覺得牠有跳蚤。,我觉得它有跳蚤。,,,
Veterinário,cartao,11,,Quero esterilizar a minha gata.,I want to spay my cat.,我想讓母貓絕育。,我想让母猫绝育。,,,
Veterinário,cartao,12,,Que ração recomenda?,What food do you recommend?,推薦哪種飼料？,推荐哪种饲料？,,,
Veterinário,cartao,13,,Ele precisa de açaime?,Does he need a muzzle?,牠需要嘴套嗎？,它需要嘴套吗？,,,
Veterinário,cartao,14,,Posso ficar com ele?,Can I stay with him?,我可以陪牠嗎？,我可以陪它吗？,,,
Veterinário,cartao,15,,Ele magoou a pata.,He hurt his paw.,牠的腳受傷了。,它的脚受伤了。,,,
Veterinário,cartao,16,,Quando volto cá?,When do I come back?,我什麼時候回診？,我什么时候回诊？,,,
Ginásio,vocabulario,1,,o ginásio,gym,健身房,健身房,Vou ao ginásio à noite.,我晚上去健身房。,我晚上去健身房。
Ginásio,vocabulario,2,,a inscrição,enrollment,報名,报名,A inscrição faz-se online.,報名在線上辦理。,报名在线上办理。
Ginásio,vocabulario,3,,inscrever-se,to sign up,報名,报名,Quero inscrever-me hoje.,我想今天報名。,我想今天报名。
