scenario_id,scenario,section,purpose,order,id,legacy_ids,pos,gender,pt,en,zh_hans,zh_hant,example_pt,example_en,example_zh_hans,example_zh_hant,note
agua_luz_gas,"Água, Luz e Gás",vocabulario,,,az-0137,m3-agua,noun,f,a água,water,水,水,Ponha água na panela.,Put water in the pot.,请把水倒进锅里。,請把水倒進鍋裡。,
agua_luz_gas,"Água, Luz e Gás",vocabulario,,,az-0160,m3-conta,noun,f,a conta,bill,账单,帳單,"Era a conta, se faz favor.","The bill, please.",请给我账单。,請給我帳單。,
agua_luz_gas,"Água, Luz e Gás",vocabulario,,,az-0162,m3-fatura,noun,f,a fatura,invoice,发票,發票,Pode dar-me uma fatura?,Can you give me an invoice?,可以给我一张发票吗？,可以給我一張發票嗎？,
agua_luz_gas,"Água, Luz e Gás",vocabulario,,,az-0231,m5-pagar-a-conta,,,pagar a conta,to pay the bill,支付账单,支付帳單,Queria pagar a conta da água.,I would like to pay the water bill.,我想付水费账单。,我想付水費帳單。,
agua_luz_gas,"Água, Luz e Gás",vocabulario,,,az-0602,situacao-o-iban,noun,m,o IBAN,IBAN (bank account number),IBAN（國际银行账号）,IBAN（國際銀行帳號）,,,,,"Needed for salary, rent, utilities"
agua_luz_gas,"Água, Luz e Gás",vocabulario,,,az-0606,situacao-a-transferencia-bancaria,noun,f,a transferência bancária,bank transfer,银行转账,銀行轉帳,,,,,
agua_luz_gas,"Água, Luz e Gás",vocabulario,,,az-0612,situacao-o-titular-da-conta,noun,m,o titular da conta,account holder,账户持有人,帳戶持有人,,,,,
agua_luz_gas,"Água, Luz e Gás",vocabulario,,,az-0613,situacao-o-homebanking-a-app-do-banco,noun,m,o homebanking / a app do banco,online banking / banking app,网上银行／银行应用程式,網上銀行／銀行應用程式,,,,,
agua_luz_gas,"Água, Luz e Gás",vocabulario,,,az-0626,situacao-as-guias-de-pagamento,noun,f-pl,as guias de pagamento,payment slips,缴费单,繳費單,,,,,
agua_luz_gas,"Água, Luz e Gás",vocabulario,,,az-0646,situacao-pagar-uma-taxa,,,pagar uma taxa,to pay a fee,缴納费用,繳納費用,,,,,
agua_luz_gas,"Água, Luz e Gás",vocabulario,,,az-0704,situacao-o-comprovativo,noun,m,o comprovativo,proof / receipt (of application),申请憑证,申請憑證,,,,,
agua_luz_gas,"Água, Luz e Gás",vocabulario,,,az-0713,situacao-despesas-incluidas,,,despesas incluídas,bills included,包水电杂费,包水電雜費,,,,,
agua_luz_gas,"Água, Luz e Gás",vocabulario,,,az-0796,situacao-o-debito-direto,noun,m,o débito direto,direct debit,自动扣款,自動扣款,,,,,How utilities are usually paid
agua_luz_gas,"Água, Luz e Gás",vocabulario,,,az-0805,situacao-a-comissao,noun,f,a comissão,fee / charge,手续费,手續費,,,,,
agua_luz_gas,"Água, Luz e Gás",vocabulario,,,az-0811,situacao-pagar-em-prestacoes,,,pagar em prestações,to pay in instalments,分期缴納,分期繳納,,,,,
