situacao,tipo,conjunto,pt,en,zh_hant,zh_hans,notas_2026
banco,vocabulário,,abrir uma conta à ordem,to open a current account,開一個活期帳戶,开一个活期账户,
banco,vocabulário,,o IBAN,IBAN (bank account number),IBAN（國際銀行帳號）,IBAN（國际银行账号）,"Needed for salary, rent, utilities"
banco,vocabulário,,o cartão multibanco,debit card (Multibanco),多功能提款卡（Multibanco）,多功能提款卡（Multibanco）,
banco,vocabulário,,o cartão de débito / de crédito,debit card / credit card,扣賬卡／信用卡,扣账卡／信用卡,
banco,vocabulário,,o extrato bancário,bank statement,銀行對帳單,银行对账单,Often requested as proof of funds
banco,vocabulário,,a transferência bancária,bank transfer,銀行轉帳,银行转账,
banco,vocabulário,,levantar dinheiro,to withdraw money,提款,提款,
banco,vocabulário,,depositar dinheiro,to deposit money,存款,存款,
banco,vocabulário,,o saldo,account balance,帳戶餘額,账户余额,
banco,vocabulário,,a comissão de manutenção,account maintenance fee,帳戶管理費,账户管理费,
banco,vocabulário,,o comprovativo de morada,proof of address,住址證明,住址证明,"Utility bill, rental contract or junta attestation"
banco,vocabulário,,o titular da conta,account holder,帳戶持有人,账户持有人,
banco,vocabulário,,o homebanking / a app do banco,online banking / banking app,網上銀行／銀行應用程式,网上银行／银行应用程式,
banco,vocabulário,,o código PIN,PIN code,密碼（PIN碼）,密码（PIN码）,
banco,script,diálogo 1,"Boa tarde, queria abrir uma conta à ordem.","Good afternoon, I'd like to open a current account.",下午好，我想開一個活期帳戶。,下午好，我想开一个活期账户。,
banco,script,diálogo 1,"Com certeza. Tem o passaporte, o NIF e um comprovativo de morada?","Of course. Do you have your passport, tax number and proof of address?",當然可以。您有護照、稅號和住址證明嗎？,当然可以。您有护照、税号和住址证明吗？,
banco,script,diálogo 1,"Tenho, está tudo aqui.","Yes, it's all here.",有，都在這裡。,有，都在这里。,
banco,script,diálogo 1,É preciso um depósito inicial. Pode ser em numerário ou por transferência.,An initial deposit is required. It can be in cash or by transfer.,需要一筆開戶存款，可以用現金或轉帳。,需要一笔开户存款，可以用现金或转账。,
banco,script,diálogo 1,Quanto é a comissão de manutenção mensal?,How much is the monthly maintenance fee?,每月的帳戶管理費是多少？,每月的账户管理费是多少？,
banco,script,diálogo 1,O cartão multibanco chega por correio dentro de uma a duas semanas.,The debit card arrives by post within one to two weeks.,提款卡會在一到兩週內郵寄給您。,提款卡会在一到两周内邮寄给您。,
banco,script,diálogo 1,Como ativo o homebanking?,How do I activate online banking?,我怎樣開通網上銀行？,我怎样开通网上银行？,
banco,script,diálogo 1,Recebe um SMS com o código de ativação para a app.,You'll receive an SMS with the activation code for the app.,您會收到一條含應用程式啟用碼的短信。,您会收到一条含应用程式启用码的短信。,
banco,cheat_sheet,,"Queria abrir uma conta, por favor.","I'd like to open an account, please.",我想開個帳戶，麻煩您。,我想开个账户，麻煩您。,
