pos,gender,id,legacyIds,﻿situacao,tipo,conjunto,pt,en,zh_hant,zh_hans,notas_2026
,,az-0601,situacao-abrir-uma-conta-a-ordem,banco,vocabulário,,abrir uma conta à ordem,to open a current account,開一個活期帳戶,开一个活期账户,
noun,m,az-0602,situacao-o-iban,banco,vocabulário,,o IBAN,IBAN (bank account number),IBAN（國際銀行帳號）,IBAN（國际银行账号）,"Needed for salary, rent, utilities"
noun,m,az-0154,situacao-o-cartao-multibanco,banco,vocabulário,,o cartão multibanco,debit card (Multibanco),多功能提款卡（Multibanco）,多功能提款卡（Multibanco）,
noun,m,az-0604,situacao-o-cartao-de-debito-de-credito,banco,vocabulário,,o cartão de débito / de crédito,debit card / credit card,扣賬卡／信用卡,扣账卡／信用卡,
noun,m,az-0605,situacao-o-extrato-bancario,banco,vocabulário,,o extrato bancário,bank statement,銀行對帳單,银行对账单,Often requested as proof of funds
noun,f,az-0606,situacao-a-transferencia-bancaria,banco,vocabulário,,a transferência bancária,bank transfer,銀行轉帳,银行转账,
,,az-0607,situacao-levantar-dinheiro,banco,vocabulário,,levantar dinheiro,to withdraw money,提款,提款,
,,az-0608,situacao-depositar-dinheiro,banco,vocabulário,,depositar dinheiro,to deposit money,存款,存款,
noun,m,az-0609,situacao-o-saldo,banco,vocabulário,,o saldo,account balance,帳戶餘額,账户余额,
noun,f,az-0610,situacao-a-comissao-de-manutencao,banco,vocabulário,,a comissão de manutenção,account maintenance fee,帳戶管理費,账户管理费,
noun,m,az-0611,situacao-o-comprovativo-de-morada,banco,vocabulário,,o comprovativo de morada,proof of address,住址證明,住址证明,"Utility bill, rental contract or junta attestation"
noun,m,az-0612,situacao-o-titular-da-conta,banco,vocabulário,,o titular da conta,account holder,帳戶持有人,账户持有人,
noun,m,az-0613,situacao-o-homebanking-a-app-do-banco,banco,vocabulário,,o homebanking / a app do banco,online banking / banking app,網上銀行／銀行應用程式,网上银行／银行应用程式,
noun,m,az-0614,situacao-o-codigo-pin,banco,vocabulário,,o código PIN,PIN code,密碼（PIN碼）,密码（PIN码）,
,,,,banco,script,diálogo 1,"Boa tarde, queria abrir uma conta à ordem.","Good afternoon, I'd like to open a current account.",下午好，我想開一個活期帳戶。,下午好，我想开一个活期账户。,
,,,,banco,script,diálogo 1,"Com certeza. Tem o passaporte, o NIF e um comprovativo de morada?","Of course. Do you have your passport, tax number and proof of address?",當然可以。您有護照、稅號和住址證明嗎？,当然可以。您有护照、税号和住址证明吗？,
,,,,banco,script,diálogo 1,"Tenho, está tudo aqui.","Yes, it's all here.",有，都在這裡。,有，都在这里。,
,,,,banco,script,diálogo 1,É preciso um depósito inicial. Pode ser em numerário ou por transferência.,An initial deposit is required. It can be in cash or by transfer.,需要一筆開戶存款，可以用現金或轉帳。,需要一笔开户存款，可以用现金或转账。,
,,,,banco,script,diálogo 1,Quanto é a comissão de manutenção mensal?,How much is the monthly maintenance fee?,每月的帳戶管理費是多少？,每月的账户管理费是多少？,
,,,,banco,script,diálogo 1,O cartão multibanco chega por correio dentro de uma a duas semanas.,The debit card arrives by post within one to two weeks.,提款卡會在一到兩週內郵寄給您。,提款卡会在一到两周内邮寄给您。,
,,,,banco,script,diálogo 1,Como ativo o homebanking?,How do I activate online banking?,我怎樣開通網上銀行？,我怎样开通网上银行？,
,,,,banco,script,diálogo 1,Recebe um SMS com o código de ativação para a app.,You'll receive an SMS with the activation code for the app.,您會收到一條含應用程式啟用碼的短信。,您会收到一条含应用程式启用码的短信。,
,,,,banco,cheat_sheet,,"Queria abrir uma conta, por favor.","I'd like to open an account, please.",我想開個帳戶，麻煩您。,我想开个账户，麻煩您。,
,,,,banco,cheat_sheet,,"Trago o passaporte, o NIF e o comprovativo de morada.","I have my passport, NIF and proof of address with me.",我帶了護照、稅號和住址證明。,我带了护照、税号和住址证明。,
,,,,banco,cheat_sheet,,Qual é o valor mínimo do depósito inicial?,What is the minimum initial deposit?,開戶最低存款是多少？,开户最低存款是多少？,
,,,,banco,cheat_sheet,,Há comissões mensais nesta conta?,Are there monthly fees on this account?,這個帳戶有月費嗎？,这个账户有月费吗？,
,,,,banco,cheat_sheet,,Pode dar-me o comprovativo do IBAN?,Could you give me proof of my IBAN?,可以給我一份IBAN證明嗎？,可以给我一份IBAN证明吗？,
,,,,banco,cheat_sheet,,Quando chega o cartão?,When will the card arrive?,卡什麼時候寄到？,卡什么时候寄到？,
noun,m,az-0615,situacao-o-nif-numero-de-identificacao-fiscal,financas,vocabulário,,o NIF (número de identificação fiscal),NIF (tax identification number),NIF（稅務識別號碼）,NIF（税务识別号码）,First document most newcomers need
,,az-0616,situacao-pedir-o-nif,financas,vocabulário,,pedir o NIF,to apply for a NIF,申請稅號,申请税号,
noun,m,az-0617,situacao-o-representante-fiscal,financas,vocabulário,,o representante fiscal,tax representative,稅務代表,税务代表,Only required for non-EU residents without PT address
noun,f,az-0618,situacao-a-autoridade-tributaria-at,financas,vocabulário,,a Autoridade Tributária (AT),Tax Authority,稅務局,税务局,
noun,m,az-0619,situacao-o-portal-das-financas,financas,vocabulário,,o Portal das Finanças,the Finanças online portal,財政入口網站,财政入口网站,Password sent by post after registration
noun,f,az-0620,situacao-a-senha-de-acesso,financas,vocabulário,,a senha de acesso,access password (portal login),登入密碼,登入密码,
,,az-0621,situacao-tirar-a-senha,financas,vocabulário,,tirar a senha,to take a queue ticket,取號（排隊票）,取号（排队票）,Same word 'senha' = ticket AND password
noun,f,az-0622,situacao-a-declaracao-de-irs,financas,vocabulário,,a declaração de IRS,income tax return,個人所得稅申報表,个人所得税申報表,
noun,m,az-0623,situacao-o-domicilio-fiscal,financas,vocabulário,,o domicílio fiscal,registered tax address,稅務登記地址,税务登记地址,
,,az-0624,situacao-atualizar-a-morada,financas,vocabulário,,atualizar a morada,to update one's address,更新地址,更新地址,
